maintenance_id|equipment_id|equipment_name|department_id|ward_id|maintenance_date|status|downtime_hours|maintenance_cost
1|105|ECG|19|44|2024-09-26|Down|9|13971
2|37|Ventilator|8|7|2021-08-25|Operational|2|13918
3|112|ICU Monitor|5|34|2021-12-24|Down|5|16879
4|86|Ultrasound|12|14|2022-08-23|Down|47|6190
5|122|ICU Monitor|15|12|2022-10-31|Operational|17|19745
6|1|Ventilator|6|32|2022-07-19|Operational|53|18320
7|51|Ultrasound|14|34|2023-06-07|Down|68|5116
8|39|MRI|6|34|2024-11-06|Down|20|8438
9|22|XRay|19|41|2020-01-20|Down|26|15057
10|131|Ventilator|2|25|2025-06-19|Operational|54|13593
11|185|Ventilator|19|12|2023-11-10|Down|28|6095
12|130|XRay|12|48|2024-09-22|Operational|32|16567
13|159|XRay|15|32|2022-07-19|Down|33|9634
14|28|ECG|1|32|2025-06-10|Operational|24|4500
15|48|Ventilator|17|41|2023-09-24|Down|15|13632
16|87|Ultrasound|16|2|2022-11-04|Down|30|6683
17|86|ECG|13|46|2020-05-31|Down|8|5887
18|57|XRay|17|7|2022-01-19|Down|12|7078
19|191|MRI|3|21|2022-03-29|Operational|2|17100
20|180|MRI|5|45|2025-05-07|Down|0|19846
21|152|XRay|9|6|2024-06-07|Down|31|17659
22|13|Ventilator|17|42|2022-07-17|Operational|36|17491
23|195|ECG|12|31|2024-09-11|Operational|57|6567
24|129|ICU Monitor|16|49|2023-02-19|Operational|59|12743
25|32|XRay|3|13|2020-06-09|Down|40|10932
26|134|ICU Monitor|20|34|2022-09-27|Operational|59|17974
27|59|Ventilator|4|31|2025-03-28|Down|34|10588
28|184|XRay|10|22|2020-03-01|Down|50|8704
29|12|XRay|16|31|2020-03-29|Operational|16|7120
30|36|XRay|1|39|2021-05-11|Down|17|12476
31|84|ICU Monitor|13|27|2021-10-28|Down|59|6151
32|13|ECG|5|23|2024-04-14|Operational|60|15844
33|161|ECG|13|9|2023-06-02|Operational|46|1883
34|68|MRI|9|35|2021-04-10|Down|69|8407
35|136|Ultrasound|3|33|2022-02-21|Down|7|12640
36|57|MRI|16|43|2023-09-26|Down|43|6830
37|199|ICU Monitor|7|20|2024-11-05|Down|48|4486
38|101|MRI|5|39|2022-03-04|Operational|32|7641
39|103|ICU Monitor|11|24|2025-05-04|Down|28|5514
40|160|Ultrasound|16|12|2020-01-06|Down|68|2797
41|174|Ventilator|5|27|2025-05-25|Operational|51|15146
